municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;00:00:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;00:10:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;00:20:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;00:30:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;00:40:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;00:50:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;01:00:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;01:10:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;01:20:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;01:30:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;01:40:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;01:50:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;02:00:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;02:10:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;02:20:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;02:30:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;02:40:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;02:50:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;03:00:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;03:10:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;03:20:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;03:30:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;03:40:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;03:50:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;04:00:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;04:10:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;04:20:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;04:30:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;04:40:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;04:50:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;05:00:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;05:10:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;05:20:00;0
CAMPO MAIOR;220220801A;PI;Centro;-4,826;-42,166;01/07/2014;05:30:00;0
